2024-01-12 21:35:37.038 | INFO     | loguru._logger:info:2044 - 启动程序,启动端口:8121
2024-01-12 21:35:41.009 | INFO     | handlers:get:15 - index page
2024-01-12 21:35:58.128 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:00:09.361 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:00:46.304 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:00:49.376 | INFO     | handlers:get:14 - index page
2024-01-12 23:00:56.338 | INFO     | handlers:get:21 - index page
2024-01-12 23:11:35.888 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:11:57.759 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:12:32.349 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:12:49.183 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:13:34.269 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:13:39.610 | INFO     | handlers:get:14 - index page
2024-01-12 23:13:44.018 | INFO     | handlers:get:21 - index page
2024-01-12 23:14:01.859 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:17:57.546 | INFO     | handlers:get:21 - index page
2024-01-12 23:17:58.422 | INFO     | handlers:get:21 - index page
2024-01-12 23:18:00.717 | INFO     | handlers:get:14 - index page
2024-01-12 23:18:28.451 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
2024-01-12 23:19:13.546 | INFO     | config:<module>:26 - 启动程序,启动端口:8121
